,SKI_ID,Ski_Long,Ski_Lat,NCA,STATE,NAME,SnotelID,Snotel_dist_km,Snotel_elev,ref mean SMD,ref std SMD,1920 mean SMD,1920 std SMD,1920 percent loss SMD,1930 mean SMD,1930 std SMD,1930 percent loss SMD,1940 mean SMD,1940 std SMD,1940 percent loss SMD,1950 mean SMD,1950 std SMD,1950 percent loss SMD,1960 mean SMD,1960 std SMD,1960 percent loss SMD,1970 mean SMD,1970 std SMD,1970 percent loss SMD,1980 mean SMD,1980 std SMD,1980 percent loss SMD,1990 mean SMD,1990 std SMD,1990 percent loss SMD,2000 mean SMD,2000 std SMD,2000 percent loss SMD,2010 mean SMD,2010 std SMD,2010 percent loss SMD,2020 mean SMD,2020 std SMD,2020 percent loss SMD,2030 mean SMD,2030 std SMD,2030 percent loss SMD,2040 mean SMD,2040 std SMD,2040 percent loss SMD,2050 mean SMD,2050 std SMD,2050 percent loss SMD,2060 mean SMD,2060 std SMD,2060 percent loss SMD,2070 mean SMD,2070 std SMD,2070 percent loss SMD,2080 mean SMD,2080 std SMD,2080 percent loss SMD,2090 mean SMD,2090 std SMD,2090 percent loss SMD,2100 mean SMD,2100 std SMD,2100 percent loss SMD
0,1000,-111.69813972,35.32980165,Southwest,ARIZONA,Snowbowl Ski Area,300,4.28991411,,38.5,1.32,47.58,10.68,0.24,42.45,10.84,0.1,41.0,10.38,0.06,40.38,12.88,0.05,40.83,12.94,0.06,43.68,12.14,0.13,38.15,12.31,0.01,37.83,11.87,0.02,39.5,11.67,0.03,32.2,11.44,0.16,30.32,11.74,0.21,26.58,10.83,0.31,21.48,9.83,0.44,19.45,8.76,0.49,13.12,6.98,0.66,10.8,7.41,0.72,8.02,5.73,0.79,4.65,3.95,0.88,3.95,4.12,0.9
1,1001,-109.56682459,33.95544762,Southwest,ARIZONA,Sunrise Peak Ski Area,283,6.45792588,,91.45,3.56,98.92,13.45,0.08,102.15,12.7,0.12,98.78,13.89,0.08,97.55,14.45,0.07,96.32,12.78,0.05,102.7,15.6,0.12,92.38,13.01,0.01,91.05,13.27,0.0,94.05,13.22,0.03,84.65,10.09,0.07,80.88,14.22,0.12,72.18,11.66,0.21,62.48,14.71,0.32,56.65,12.19,0.38,45.88,9.86,0.5,37.33,12.28,0.59,32.1,12.66,0.65,26.25,9.97,0.71,18.82,10.19,0.79
2,1002,-120.23595959,39.15623889,Southwest,CALIFORNIA,Alpine Meadows Ski Area,336,2.22122956,,67.79,5.09,69.05,16.44,0.02,73.62,14.32,0.09,74.25,15.68,0.1,73.4,21.37,0.08,74.85,23.5,0.1,80.35,18.16,0.19,65.92,20.57,0.03,71.65,18.19,0.06,69.45,20.48,0.02,61.78,18.74,0.09,54.88,15.02,0.19,48.42,16.79,0.29,40.6,14.07,0.4,33.58,14.08,0.5,25.52,9.59,0.62,21.42,14.96,0.68,15.38,8.28,0.77,10.9,7.42,0.84,9.93,8.07,0.85
3,1003,-119.6613241,37.65966014,Southwest,CALIFORNIA,Badger Pass Ski Area,10051,9.59059101,,61.33,2.64,65.58,15.28,0.07,66.18,15.68,0.08,65.85,13.83,0.07,66.05,18.71,0.08,68.65,19.91,0.12,73.0,15.57,0.19,59.05,17.3,0.04,63.65,17.04,0.04,61.12,17.9,0.0,55.22,17.22,0.1,51.45,14.69,0.16,45.28,16.12,0.26,36.22,13.44,0.41,31.95,12.38,0.48,23.2,8.85,0.62,19.88,13.09,0.68,14.1,8.62,0.77,10.6,6.91,0.83,9.05,7.61,0.85
4,1004,-120.05184393,38.48979718,Southwest,CALIFORNIA,Bear Valley Ski Area,10041,4.6809661,,84.83,4.99,88.72,17.68,0.05,90.7,14.97,0.07,90.2,14.99,0.06,89.52,22.03,0.06,91.6,22.92,0.08,98.3,17.44,0.16,84.22,21.06,0.01,88.75,17.13,0.05,86.55,19.42,0.02,78.47,18.76,0.07,72.1,15.55,0.15,65.9,16.83,0.22,55.92,15.63,0.34,48.28,15.12,0.43,37.95,10.63,0.55,33.25,16.21,0.61,26.5,11.53,0.69,19.73,9.57,0.77,16.85,9.42,0.8
5,1005,-120.34830534,39.33010726,Southwest,CALIFORNIA,Boreal Ridge Ski Area,310,1.75908944,,66.04,3.29,70.0,15.88,0.06,71.7,14.26,0.09,71.55,14.86,0.08,70.8,20.16,0.07,71.5,20.68,0.08,78.35,16.79,0.19,65.7,19.0,0.01,69.53,17.53,0.05,66.68,19.0,0.01,60.5,17.97,0.08,54.62,14.34,0.17,48.3,16.97,0.27,40.22,14.06,0.39,35.08,13.01,0.47,26.25,9.09,0.6,22.35,15.24,0.66,16.52,8.6,0.75,11.95,7.92,0.82,10.52,8.19,0.84
6,1006,-119.1574507,37.22589934,Southwest,CALIFORNIA,Chinese Peak Ski Area,10066,5.32097397,,72.97,4.16,79.2,15.58,0.09,78.2,16.13,0.07,77.15,14.18,0.06,76.7,19.5,0.05,79.38,21.6,0.09,86.2,16.85,0.18,71.8,19.84,0.02,75.28,16.68,0.03,72.58,18.72,0.01,66.5,18.5,0.09,61.42,15.55,0.16,55.0,16.46,0.25,44.6,15.09,0.39,38.58,13.92,0.47,29.78,9.65,0.59,25.05,13.71,0.66,18.62,9.89,0.74,13.55,8.61,0.81,11.4,8.17,0.84
7,1007,-119.94174185,38.18723608,Southwest,CALIFORNIA,Dodge Ridge Ski Area,10038,4.4294176,,25.93,2.01,25.62,9.59,0.01,27.05,12.27,0.04,27.75,9.16,0.07,27.3,13.97,0.05,29.45,14.36,0.14,31.42,11.36,0.21,23.92,10.29,0.08,26.28,12.15,0.01,28.02,12.32,0.08,21.38,11.54,0.18,17.62,10.43,0.32,16.95,12.61,0.35,12.9,7.2,0.5,12.2,8.07,0.53,6.65,4.97,0.74,6.4,6.91,0.75,3.7,4.0,0.86,2.55,3.73,0.9,2.45,3.46,0.91
8,1008,-120.33851695,39.32081162,Southwest,CALIFORNIA,Donner Summit Ski Area,310,2.7491593,,66.04,3.29,70.0,15.88,0.06,71.7,14.26,0.09,71.55,14.86,0.08,70.8,20.16,0.07,71.5,20.68,0.08,78.35,16.79,0.19,65.7,19.0,0.01,69.53,17.53,0.05,66.68,19.0,0.01,60.5,17.97,0.08,54.62,14.34,0.17,48.3,16.97,0.27,40.22,14.06,0.39,35.08,13.01,0.47,26.25,9.09,0.6,22.35,15.24,0.66,16.52,8.6,0.75,11.95,7.92,0.82,10.52,8.19,0.84
9,1009,-116.85918518,34.21842822,Southwest,CALIFORNIA,Gold Mine Ski Area,10079,245.04257042,,2.7,1.02,4.08,3.34,0.51,3.4,4.64,0.26,3.8,3.89,0.41,2.45,2.92,0.09,3.48,4.39,0.29,3.1,3.61,0.15,2.6,3.05,0.04,1.92,2.86,0.29,2.6,3.25,0.04,1.85,2.49,0.31,1.82,2.6,0.32,1.42,2.21,0.47,0.8,1.54,0.7,1.0,2.09,0.63,0.57,1.76,0.79,0.5,1.07,0.81,0.28,0.77,0.9,0.15,0.57,0.94,0.1,0.49,0.96
10,1010,-117.036556,34.21458218,Southwest,CALIFORNIA,Green Valley Ski Area,10079,238.0881637,,2.7,1.02,4.08,3.34,0.51,3.4,4.64,0.26,3.8,3.89,0.41,2.45,2.92,0.09,3.48,4.39,0.29,3.1,3.61,0.15,2.6,3.05,0.04,1.92,2.86,0.29,2.6,3.25,0.04,1.85,2.49,0.31,1.82,2.6,0.32,1.42,2.21,0.47,0.8,1.54,0.7,1.0,2.09,0.63,0.57,1.76,0.79,0.5,1.07,0.81,0.28,0.77,0.9,0.15,0.57,0.94,0.1,0.49,0.96
11,1011,-120.17270593,39.07923689,Southwest,CALIFORNIA,Homewood Ski Area,10092,7.34136489,,67.79,5.09,69.05,16.44,0.02,73.62,14.32,0.09,74.25,15.68,0.1,73.4,21.37,0.08,74.85,23.5,0.1,80.35,18.16,0.19,65.92,20.57,0.03,71.65,18.19,0.06,69.45,20.48,0.02,61.78,18.74,0.09,54.88,15.02,0.19,48.42,16.79,0.29,40.6,14.07,0.4,33.58,14.08,0.5,25.52,9.59,0.62,21.42,14.96,0.68,15.38,8.28,0.77,10.9,7.42,0.84,9.93,8.07,0.85
12,1012,-119.07491785,37.75508027,Southwest,CALIFORNIA,June Mountain Ski Area,10109,0.28253891,,116.4,4.17,117.78,15.0,0.01,124.6,15.4,0.07,122.52,10.87,0.05,120.58,19.36,0.04,123.08,19.25,0.06,130.32,16.8,0.12,118.65,17.94,0.02,119.7,13.42,0.03,118.85,14.29,0.02,112.58,17.27,0.03,107.32,15.14,0.08,100.08,17.05,0.14,90.6,15.75,0.22,79.15,16.94,0.32,68.7,14.39,0.41,60.9,19.47,0.48,53.08,16.08,0.54,42.08,15.26,0.64,37.25,15.11,0.68
13,1013,-120.06275463,38.67401937,Southwest,CALIFORNIA,Kirkwood Ski Area,10027,4.34052837,,84.83,4.99,88.72,17.68,0.05,90.7,14.97,0.07,90.2,14.99,0.06,89.52,22.03,0.06,91.6,22.92,0.08,98.3,17.44,0.16,84.22,21.06,0.01,88.75,17.13,0.05,86.55,19.42,0.02,78.47,18.76,0.07,72.1,15.55,0.15,65.9,16.83,0.22,55.92,15.63,0.34,48.28,15.12,0.43,37.95,10.63,0.55,33.25,16.21,0.61,26.5,11.53,0.69,19.73,9.57,0.77,16.85,9.42,0.8
14,1014,-119.02095878,37.6398962,Southwest,CALIFORNIA,Mammoth Mountain Ski Area,10115,3.46597371,,162.03,1.75,166.4,10.83,0.03,175.62,9.34,0.08,172.85,9.04,0.07,170.95,12.06,0.06,172.9,13.29,0.07,174.4,11.47,0.08,167.58,12.51,0.03,167.4,10.1,0.03,164.85,11.25,0.02,161.68,12.0,0.0,156.48,13.6,0.03,148.68,11.27,0.08,142.22,13.13,0.12,128.93,15.45,0.2,118.9,12.27,0.27,107.3,16.72,0.34,98.42,16.86,0.39,88.98,19.33,0.45,82.75,18.63,0.49
